City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Lagoa,PT,2021-09-05 21:17:20,39.05,-27.9833,68.81,71,67,18.5
68,Faya,SA,2021-09-05 21:17:20,18.3851,42.4509,66.31,36,76,2.39
69,Victoria,HK,2021-09-05 21:13:16,22.2855,114.1577,84.33,85,13,5.5
70,Katsuura,JP,2021-09-05 21:17:20,35.1333,140.3,69.91,83,100,18.39
71,Koslan,RU,2021-09-05 21:17:21,63.4564,48.8989,41.13,96,100,10.6
72,Muros,ES,2021-09-05 21:17:21,42.7762,-9.0603,73.9,70,71,6.04
73,Ribeira Grande,PT,2021-09-05 21:17:22,38.5167,-28.7,70.09,72,51,19.08
74,East London,ZA,2021-09-05 21:15:17,-33.0153,27.9116,64.58,70,100,8.46
75,Isangel,VU,2021-09-05 21:17:22,-19.55,169.2667,71.71,83,75,5.75
76,Ponta Do Sol,PT,2021-09-05 21:17:23,32.6667,-17.1,77.63,84,97,8.32
77,Airai,TL,2021-09-05 21:17:23,-8.9266,125.4092,58.73,66,100,3.56
78,Kutum,SD,2021-09-05 21:17:23,14.2,24.6667,72.34,70,100,5.1
79,Cabudare,VE,2021-09-05 21:17:24,10.0289,-69.0894,82.94,62,69,8.95
80,Provideniya,RU,2021-09-05 21:17:24,64.3833,-173.3,39.31,65,90,11.18
81,Yellowknife,CA,2021-09-05 21:17:25,62.456,-114.3525,61.32,77,75,12.66
82,Kudahuvadhoo,MV,2021-09-05 21:17:26,2.6708,72.8944,82.69,73,91,13.35
83,Nioro,GM,2021-09-05 21:17:26,13.35,-15.75,77.95,87,15,5.48
84,Talnakh,RU,2021-09-05 21:17:26,69.4865,88.3972,49.35,82,73,11.83
85,Mwanza,TZ,2021-09-05 21:17:27,-2.5167,32.9,74.89,61,5,5.64
86,Hobart,AU,2021-09-05 21:16:03,-42.8794,147.3294,46.26,69,20,1.01
87,Tommot,RU,2021-09-05 21:17:28,58.9564,126.2925,42.51,93,100,6.15
88,Esna,EG,2021-09-05 21:17:28,25.2934,32.554,88.38,26,0,17.45
89,Guarapari,BR,2021-09-05 21:17:28,-20.6667,-40.4975,76.89,94,28,9.6
90,Souillac,MU,2021-09-05 21:17:29,-20.5167,57.5167,71.98,64,40,14.97
91,Dikson,RU,2021-09-05 21:17:30,73.5069,80.5464,47.39,87,7,20.92
92,Kandrian,PG,2021-09-05 21:17:30,-6.2167,149.55,77.09,91,47,8.46
93,Longyearbyen,SJ,2021-09-05 21:14:14,78.2186,15.6401,39.04,65,75,21.85
94,Geraldton,AU,2021-09-05 21:17:31,-28.7667,114.6,55.81,33,0,17.27
95,Margate,GB,2021-09-05 21:17:31,51.3813,1.3862,62.96,88,5,1.99
96,Deputatskiy,RU,2021-09-05 21:17:31,69.3,139.9,40.66,65,100,30.89
97,Clyde River,CA,2021-09-05 21:17:32,70.4692,-68.5914,32.23,100,90,19.57
98,Itarema,BR,2021-09-05 21:17:32,-2.9248,-39.9167,78.91,79,21,15.32
99,Esperance,AU,2021-09-05 21:17:33,-33.8667,121.9,51.04,70,0,15.1
100,Villazon,BO,2021-09-05 21:17:33,-22.0866,-65.5942,66.27,17,4,16.87
101,Avarua,CK,2021-09-05 21:17:34,-21.2078,-159.775,75.25,83,75,11.5
102,Edmundston,CA,2021-09-05 21:13:43,47.3737,-68.3251,63.16,63,90,12.66
103,Leiva,CO,2021-09-05 21:17:34,1.9339,-77.3025,70.23,79,79,6.08
104,Saint-Junien,FR,2021-09-05 21:17:35,45.8833,0.9,73.98,66,46,1.88
105,Kaitangata,NZ,2021-09-05 21:17:35,-46.2817,169.8464,47.75,72,97,4.94
106,Coquimbo,CL,2021-09-05 21:13:16,-29.9533,-71.3436,60.53,67,0,12.66
107,Lebu,CL,2021-09-05 21:17:36,-37.6167,-73.65,52.3,83,68,7.16
108,Marawi,PH,2021-09-05 21:17:36,7.9986,124.2928,65.64,93,100,2.75
109,Torbay,CA,2021-09-05 21:17:37,47.6666,-52.7314,54.75,89,100,14.0
110,Leningradskiy,RU,2021-09-05 21:17:37,69.3833,178.4167,31.17,74,79,25.5
111,Capoterra,IT,2021-09-05 21:17:38,39.1763,8.9718,76.78,67,0,4.61
112,Howard Springs,AU,2021-09-05 21:17:38,-12.497,131.047,75.11,51,69,11.72
113,Tura,IN,2021-09-05 21:17:38,25.5198,90.2201,76.8,85,99,3.04
